Sample,Length (mm),D_B,D_T,Theta (Deg),Spacing,BaseLength,BaseWidth
Cylinder,3.5,0.435,0.435,0,0.4,10,10
A,3.5,0.435,0.4044559627,0.5,0.4,10,10
B,3.5,0.435,0.3739072728,1,0.4,10,10
C,3.5,0.435,0.3433492745,1.5,0.4,10,10
D,3.5,0.435,0.3127773068,2,0.4,10,10
E,3.5,0.435,0.2821866998,2.5,0.4,10,10
F,3.5,0.435,0.2515727725,3,0.4,10,10
G,3.5,0.435,0.2209308295,3.5,0.4,10,10
H,3.5,0.435,0.1902561582,4,0.4,10,10
I,3.5,0.435,0.1595440261,4.5,0.4,10,10
J,3.5,0.435,0.1287896777,5,0.4,10,10
K,3.5,0.435,0.09798833131,5.5,0.4,10,10
L,3.5,0.435,0.06713517657,6,0.4,10,10
M,3.5,0.435,0.03622537094,6.5,0.4,10,10
N,3.5,0.435,0.00525403684,7,0.4,10,10
